power,scanned
101.8684,0.5002484
104.6216,2.1827218
107.5278,0.7791449
110.6000,0.4489726
113.8529,1.3340377
117.3030,5.4351620
120.9688,1.9603003
124.8710,3.8893598
129.0333,4.1754296
133.4828,3.6275237
138.2500,1.0349242
143.3704,3.6212254
148.8846,0.9622756
154.8400,3.1637441
161.2917,2.4760282
168.3043,0.8134775
175.9545,1.0268895
184.3333,0.8645847
193.5500,2.6183386
203.7368,9.6412277
215.0556,1.3185085
227.7059,5.2257762
241.9375,0.1095315
258.0667,1.9810230
276.5000,12.2162595
297.7692,10.0110967
322.5833,9.9381708
351.9091,4.0124585
387.1000,1.2389949
