t,x,err
53416,-0.00075458,0.00038386
53417,0.00062801,0.00056333
53418,0.00024756,0.00036052
53419,-0.00001712,0.00048062
53420,0.00138664,0.00085418
53421,0.00115928,0.00062373
53422,0.00146279,0.00086518
53423,-0.00312172,0.00456753
53430,-0.00024602,0.00046844
53432,-0.00002698,0.00150924
53433,-0.00035428,0.00156732
53435,-0.00112837,0.00081739
53436,0.00046378,0.00051333
53438,0.00189362,0.00276487
53440,0.01825705,0.00955026
53441,0.00201873,0.00107811
53442,-0.00012268,0.00088270
53443,0.00241744,0.00105616
53444,0.00101704,0.00182889
53445,0.00012103,0.00057862
53446,0.00027601,0.00100072
53447,-0.00004179,0.00144105
53448,0.00053272,0.00039938
53449,0.00079096,0.00045649
53450,0.00100149,0.00094383
53451,0.00059015,0.00072852
53452,-0.00099876,0.00048037
53453,0.00013876,0.00065445
53454,0.00005707,0.00053088
53455,0.00024806,0.00052316
53456,-0.00092094,0.00082929
53457,-0.00030628,0.00061165
53458,-0.00058788,0.00084622
53459,0.00075435,0.00129413
53460,0.00110804,0.00062777
53461,0.00037927,0.00065404
53462,0.00003284,0.00087261
53463,-0.00188380,0.00080659
53464,0.00117916,0.00080639
53465,-0.00103836,0.00123733
53467,0.00165934,0.00097049
53468,0.00058957,0.00077883
53469,0.00045909,0.00069077
53470,0.00117208,0.00051597
53471,0.00007708,0.00048202
53472,0.00038671,0.00068692
53473,0.00040189,0.00047708
53474,0.00037399,0.00076351
53475,0.00104952,0.00055826
53476,0.00099055,0.00046171
53477,0.00081023,0.00043466
53478,0.00019970,0.00052197
53479,0.00034278,0.00054096
53480,0.00015151,0.00116271
53481,-0.00058883,0.00084376
53482,-0.00036681,0.00091442
53483,0.00075616,0.00083211
53484,-0.00007819,0.00064584
53485,0.00075349,0.00064794
53486,0.00046007,0.00055277
53487,0.00195884,0.00050905
53488,0.00175616,0.00057154
53489,-0.00001002,0.00046876
53490,0.00149873,0.00052114
53491,0.00125195,0.00103256
53492,0.00033471,0.00044008
53493,0.00062624,0.00038776
53494,0.00033584,0.00034297
53495,-0.00027183,0.00035089
53496,0.00030963,0.00037757
53497,-0.00012965,0.00041141
53498,0.00054498,0.00045859
53499,0.00116822,0.00037326
53500,0.00164220,0.00045293
53501,0.00105331,0.00038380
53502,0.00062132,0.00042733
53503,0.00218996,0.00054550
53504,0.00058800,0.00044680
53505,0.00004340,0.00044189
53506,0.00126045,0.00059509
53507,0.00048549,0.00044250
53508,0.00192717,0.00041665
53509,0.00150445,0.00048662
53510,0.00113102,0.00041625
53511,0.00040599,0.00047999
53512,0.00028456,0.00061479
53514,-0.00004613,0.00315857
53515,-0.00042098,0.00055999
53516,0.00008231,0.00074910
53517,-0.00093049,0.00062707
