t,x,err
53430.184331,6.81172,0.03216
53454.471872,15.76797,1.00875
53460.216440,17.82252,0.06820
53461.418292,28.27420,0.11082
53461.818303,18.11435,0.87700
53489.800458,37.64434,0.13686
53493.225900,24.14787,0.28482
53558.908982,73.54191,0.18305
53647.590472,34.96830,0.14982
53647.594077,43.48428,1.18282
53680.125544,31.71465,0.36500
53737.994523,66.20851,0.18109
53739.494183,84.59026,0.14123
53740.494366,68.14595,0.15267
53742.945540,49.28714,0.10536
53755.674271,38.33609,4.51795
53848.460452,47.11958,0.07152
53850.344047,44.31701,0.09897
53851.215639,47.33245,0.13454
53851.959668,43.46933,0.18699
53900.490354,33.95502,0.10873
53901.731702,30.99328,0.08447
53903.000845,44.41251,0.04597
53905.513817,43.60417,0.03832
53907.002621,37.22644,1.59575
53907.501768,46.12010,0.05762
53908.533065,41.83565,0.04724
53909.678439,75.37274,0.30830
53909.697464,70.02341,0.09799
53910.575771,65.99184,0.07602
53913.182130,40.58362,0.12299
53931.448099,87.66389,0.22149
54074.751285,16.91103,0.06625
54182.458311,19.06819,0.09823
54190.090958,27.60582,0.12351
54196.320136,17.42382,0.09604
54203.277385,37.29519,0.16203
54204.449593,37.33054,0.34912
54218.311669,17.25678,0.10700
54224.397965,15.61194,0.09444
54232.197094,15.22212,0.09202
54380.777370,15.29019,0.08927
54380.787249,15.87694,0.05626
54381.814520,15.61264,0.08250
54381.821971,16.45646,0.05387
54387.981769,30.21035,0.04192
54389.790445,22.63168,0.09375
54389.799054,20.87115,0.09119
54397.390701,45.96339,0.07874
54398.526811,55.03546,0.11231
54416.602598,28.89288,0.40377
54417.534043,33.96727,0.18503
54418.570329,39.60054,0.16553
54419.480899,40.01498,0.20554
54420.425812,35.08828,0.17330
54421.429598,26.67661,0.15568
54422.465795,30.45656,0.29365
54423.625414,25.81944,0.08776
54428.510083,30.78242,0.11881
54449.404584,45.57719,0.19740
54465.738202,47.11305,0.16060
54472.696561,31.22552,0.13252
54473.209486,37.24508,0.14118
54474.212506,38.71100,0.14526
54474.467123,38.69582,0.13835
54475.179125,42.34539,0.15329
54475.436519,38.38659,0.13850
54477.444097,27.32544,0.12870
54478.447912,42.46028,0.16549
54479.265952,39.15263,0.22289
54481.178138,45.42544,0.22132
54481.404531,49.83825,0.22411
54482.183131,51.19158,0.31334
54482.408422,38.87569,0.22968
54483.215624,37.77091,0.22679
54483.485829,49.76036,0.24640
54484.221763,47.59106,0.23689
54502.458675,80.29391,0.34422
54502.876272,63.59640,0.26225
54504.815430,65.28799,0.20248
54506.157013,72.02760,0.27163
54506.429731,67.73793,0.29828
54507.193875,68.14394,0.22004
54507.433266,61.35834,0.26432
54508.163430,59.45810,0.21278
54508.503308,60.30913,0.21179
54509.168627,65.44863,0.29857
54509.372447,68.48406,0.38681
54510.136002,60.64589,0.27525
54510.378637,59.44461,0.21011
54511.142872,64.57541,0.27917
54511.448437,56.49632,0.30161
54512.146345,58.49534,0.36008
54512.456273,55.36275,0.28919
54526.345298,37.59189,0.19261
54538.278191,39.70739,0.20321
54556.567457,70.14929,0.20741
54558.036474,42.80785,0.22985
54558.243735,63.15562,0.25688
54559.246876,87.93055,0.28699
54559.923834,78.18813,0.28239
54560.214571,72.15703,0.26364
54561.218390,57.59249,0.24696
54562.251029,59.63356,0.25135
54564.193062,62.09907,0.30485
54566.137987,54.06166,0.18139
54567.173413,42.44801,0.22430
54569.716359,36.99479,0.11765
54588.877580,28.18830,0.13332
54590.238570,51.51827,0.28184
54591.216583,62.25384,0.18402
54592.209865,40.73456,0.16635
54593.213685,41.94026,0.17513
54594.267613,38.89535,0.20455
54594.926671,30.10758,0.17322
54629.948247,42.07072,0.20896
54778.904418,34.25175,0.13554
54792.656202,29.46544,0.09695
54803.911238,33.17911,0.11968
54805.317496,31.94571,0.09815
54843.876177,33.08470,0.21721
54844.742069,35.64002,0.23758
54849.053438,29.05391,0.18149
54858.545739,32.57853,0.20203
54864.752584,45.20919,0.17570
54878.624694,40.05169,0.14576
54885.652519,44.51319,0.17235
54892.062849,23.33833,0.15816
54899.096335,28.86723,0.45163
54906.586532,31.14696,0.18558
54913.943793,19.92680,0.12990
54914.945911,20.41559,0.13868
54916.956102,18.64519,0.14792
54918.964055,15.14868,0.11066
54922.982406,19.06203,0.16547
54924.987951,21.86838,0.14524
54926.982906,31.49293,0.28151
54928.901056,23.51059,0.15025
